Timestamp,Power Consumption,Hour,Minute,DayOfWeek,Month,DayOfYear,WeekOfYear,Year,BlockNo
2020-01-01 07:30:00,107812248.9,7,30,2,1,1,1,2020,31
2020-01-01 07:45:00,125487453.9,7,45,2,1,1,1,2020,32
2020-01-01 08:00:00,121567820.3,8,0,2,1,1,1,2020,33
2020-01-01 08:15:00,113827061.2,8,15,2,1,1,1,2020,34
2020-01-01 08:30:00,118498414.5,8,30,2,1,1,1,2020,35
2020-01-01 08:45:00,111834300.8,8,45,2,1,1,1,2020,36
2020-01-01 09:00:00,127545277.8,9,0,2,1,1,1,2020,37
2020-01-01 09:15:00,116983359.6,9,15,2,1,1,1,2020,38
2020-01-01 09:30:00,111953560.7,9,30,2,1,1,1,2020,39
2020-01-01 09:45:00,108025429.4,9,45,2,1,1,1,2020,40
2020-01-01 10:00:00,122834600.7,10,0,2,1,1,1,2020,41
2020-01-01 10:15:00,140732977.3,10,15,2,1,1,1,2020,42
2020-01-01 10:30:00,110604978.5,10,30,2,1,1,1,2020,43
2020-01-01 10:45:00,128714629.1,10,45,2,1,1,1,2020,44
2020-01-01 11:00:00,124414818.9,11,0,2,1,1,1,2020,45
2020-01-01 11:15:00,142076094.7,11,15,2,1,1,1,2020,46
2020-01-01 11:30:00,116965990.9,11,30,2,1,1,1,2020,47
2020-01-01 11:45:00,97102356.7,11,45,2,1,1,1,2020,48
2020-01-01 12:00:00,141262174.5,12,0,2,1,1,1,2020,49
2020-01-01 12:15:00,106628675.8,12,15,2,1,1,1,2020,50
2020-01-01 12:30:00,122473535.9,12,30,2,1,1,1,2020,51
2020-01-01 12:45:00,128781842.1,12,45,2,1,1,1,2020,52
2020-01-01 13:00:00,153135625.1,13,0,2,1,1,1,2020,53
2020-01-01 13:15:00,100237866.1,13,15,2,1,1,1,2020,54
2020-01-01 13:30:00,87965447.4,13,30,2,1,1,1,2020,55
2020-01-01 13:45:00,107102375.5,13,45,2,1,1,1,2020,56
2020-01-01 14:00:00,102948472.5,14,0,2,1,1,1,2020,57
2020-01-01 14:15:00,83560773.9,14,15,2,1,1,1,2020,58
2020-01-01 14:30:00,108724620.3,14,30,2,1,1,1,2020,59
2020-01-01 14:45:00,117859888.9,14,45,2,1,1,1,2020,60
2020-01-01 15:00:00,125465101.4,15,0,2,1,1,1,2020,61
2020-01-01 15:15:00,184431827.1,15,15,2,1,1,1,2020,62
2020-01-01 15:30:00,167065420.3,15,30,2,1,1,1,2020,63
2020-01-01 15:45:00,117641189.6,15,45,2,1,1,1,2020,64
2020-01-01 16:00:00,116437042.4,16,0,2,1,1,1,2020,65
2020-01-01 16:15:00,131299959.1,16,15,2,1,1,1,2020,66
2020-01-01 16:30:00,129070781.7,16,30,2,1,1,1,2020,67
2020-01-01 16:45:00,99832130.1,16,45,2,1,1,1,2020,68
2020-01-01 17:00:00,113141884.5,17,0,2,1,1,1,2020,69
2020-01-01 17:15:00,126784485.1,17,15,2,1,1,1,2020,70
2020-01-01 17:30:00,144205409.2,17,30,2,1,1,1,2020,71
2020-01-01 17:45:00,149104490.7,17,45,2,1,1,1,2020,72
2020-01-01 18:00:00,136901480.5,18,0,2,1,1,1,2020,73
2020-01-01 18:15:00,138593477.5,18,15,2,1,1,1,2020,74
2020-01-01 18:30:00,133423245.6,18,30,2,1,1,1,2020,75
2020-01-01 18:45:00,142312057.2,18,45,2,1,1,1,2020,76
2020-01-01 19:00:00,126321489.1,19,0,2,1,1,1,2020,77
2020-01-01 19:15:00,143603422.5,19,15,2,1,1,1,2020,78
2020-01-01 19:30:00,117830723.5,19,30,2,1,1,1,2020,79
2020-01-01 19:45:00,134462643.0,19,45,2,1,1,1,2020,80
2020-01-01 20:00:00,127894721.3,20,0,2,1,1,1,2020,81
2020-01-01 20:15:00,130029873.8,20,15,2,1,1,1,2020,82
2020-01-01 20:30:00,121035916.2,20,30,2,1,1,1,2020,83
2020-01-01 20:45:00,122132022.9,20,45,2,1,1,1,2020,84
2020-01-01 21:00:00,105925868.4,21,0,2,1,1,1,2020,85
2020-01-01 21:15:00,125342582.9,21,15,2,1,1,1,2020,86
2020-01-01 21:30:00,114423680.4,21,30,2,1,1,1,2020,87
2020-01-01 21:45:00,141453797.6,21,45,2,1,1,1,2020,88
2020-01-01 22:00:00,109992349.5,22,0,2,1,1,1,2020,89
2020-01-01 22:15:00,115974385.9,22,15,2,1,1,1,2020,90
2020-01-01 22:30:00,111269081.6,22,30,2,1,1,1,2020,91
2020-01-01 22:45:00,121193571.6,22,45,2,1,1,1,2020,92
2020-01-01 23:00:00,119739118.6,23,0,2,1,1,1,2020,93
2020-01-01 23:15:00,123725712.8,23,15,2,1,1,1,2020,94
2020-01-01 23:30:00,103828849.5,23,30,2,1,1,1,2020,95
2020-01-01 23:45:00,113506358.7,23,45,2,1,1,1,2020,96
2020-01-02 00:00:00,95663847.0,0,0,3,1,2,1,2020,1
2020-01-02 00:15:00,88914731.4,0,15,3,1,2,1,2020,2
2020-01-02 00:30:00,93525598.1,0,30,3,1,2,1,2020,3
2020-01-02 00:45:00,92828150.2,0,45,3,1,2,1,2020,4
2020-01-02 01:00:00,88524997.1,1,0,3,1,2,1,2020,5
2020-01-02 01:15:00,80741169.8,1,15,3,1,2,1,2020,6
2020-01-02 01:30:00,74586690.9,1,30,3,1,2,1,2020,7
2020-01-02 01:45:00,82684731.1,1,45,3,1,2,1,2020,8
2020-01-02 02:00:00,76418524.9,2,0,3,1,2,1,2020,9
2020-01-02 02:15:00,74710757.3,2,15,3,1,2,1,2020,10
2020-01-02 02:30:00,65012892.3,2,30,3,1,2,1,2020,11
2020-01-02 02:45:00,57894411.4,2,45,3,1,2,1,2020,12
2020-01-02 03:00:00,62906108.1,3,0,3,1,2,1,2020,13
2020-01-02 03:15:00,66775415.3,3,15,3,1,2,1,2020,14
2020-01-02 03:30:00,76925004.0,3,30,3,1,2,1,2020,15
2020-01-02 03:45:00,80822937.9,3,45,3,1,2,1,2020,16
2020-01-02 04:00:00,68897247.5,4,0,3,1,2,1,2020,17
2020-01-02 04:15:00,94658716.9,4,15,3,1,2,1,2020,18
2020-01-02 04:30:00,76624464.6,4,30,3,1,2,1,2020,19
2020-01-02 04:45:00,82098496.7,4,45,3,1,2,1,2020,20
2020-01-02 05:00:00,90152304.3,5,0,3,1,2,1,2020,21
2020-01-02 05:15:00,95369072.2,5,15,3,1,2,1,2020,22
2020-01-02 05:30:00,82509767.9,5,30,3,1,2,1,2020,23
2020-01-02 05:45:00,100424847.0,5,45,3,1,2,1,2020,24
2020-01-02 06:00:00,103080532.6,6,0,3,1,2,1,2020,25
2020-01-02 06:15:00,107634751.7,6,15,3,1,2,1,2020,26
2020-01-02 06:30:00,100274654.0,6,30,3,1,2,1,2020,27
2020-01-02 06:45:00,94015299.8,6,45,3,1,2,1,2020,28
2020-01-02 07:00:00,143557057.5,7,0,3,1,2,1,2020,29
2020-01-02 07:15:00,101261015.3,7,15,3,1,2,1,2020,30
2020-01-02 07:30:00,106321488.2,7,30,3,1,2,1,2020,31
2020-01-02 07:45:00,113783420.2,7,45,3,1,2,1,2020,32
2020-01-02 08:00:00,101189789.6,8,0,3,1,2,1,2020,33
2020-01-02 08:15:00,113931399.3,8,15,3,1,2,1,2020,34
2020-01-02 08:30:00,100634120.7,8,30,3,1,2,1,2020,35
2020-01-02 08:45:00,107370452.3,8,45,3,1,2,1,2020,36
2020-01-02 09:00:00,116984963.2,9,0,3,1,2,1,2020,37
2020-01-02 09:15:00,107460812.1,9,15,3,1,2,1,2020,38
2020-01-02 09:30:00,107673835.9,9,30,3,1,2,1,2020,39
2020-01-02 09:45:00,102824917.0,9,45,3,1,2,1,2020,40
2020-01-02 10:00:00,123750216.9,10,0,3,1,2,1,2020,41
2020-01-02 10:15:00,127988706.0,10,15,3,1,2,1,2020,42
2020-01-02 10:30:00,110580125.1,10,30,3,1,2,1,2020,43
2020-01-02 10:45:00,121857495.7,10,45,3,1,2,1,2020,44
2020-01-02 11:00:00,120191198.2,11,0,3,1,2,1,2020,45
2020-01-02 11:15:00,133432972.1,11,15,3,1,2,1,2020,46
2020-01-02 11:30:00,101615663.6,11,30,3,1,2,1,2020,47
2020-01-02 11:45:00,100311893.7,11,45,3,1,2,1,2020,48
2020-01-02 12:00:00,111395176.4,12,0,3,1,2,1,2020,49
2020-01-02 12:15:00,99770110.9,12,15,3,1,2,1,2020,50
2020-01-02 12:30:00,123373773.3,12,30,3,1,2,1,2020,51
2020-01-02 12:45:00,132373671.9,12,45,3,1,2,1,2020,52
2020-01-02 13:00:00,151322310.5,13,0,3,1,2,1,2020,53
2020-01-02 13:15:00,101505040.8,13,15,3,1,2,1,2020,54
2020-01-02 13:30:00,90356225.9,13,30,3,1,2,1,2020,55
2020-01-02 13:45:00,102392200.4,13,45,3,1,2,1,2020,56
2020-01-02 14:00:00,96911407.6,14,0,3,1,2,1,2020,57
2020-01-02 14:15:00,99287722.2,14,15,3,1,2,1,2020,58
2020-01-02 14:30:00,112418277.3,14,30,3,1,2,1,2020,59
2020-01-02 14:45:00,122695774.7,14,45,3,1,2,1,2020,60
2020-01-02 15:00:00,105050825.6,15,0,3,1,2,1,2020,61
2020-01-02 15:15:00,181858764.7,15,15,3,1,2,1,2020,62
2020-01-02 15:30:00,173462190.1,15,30,3,1,2,1,2020,63
2020-01-02 15:45:00,125723464.3,15,45,3,1,2,1,2020,64
2020-01-02 16:00:00,139555627.1,16,0,3,1,2,1,2020,65
2020-01-02 16:15:00,132302078.7,16,15,3,1,2,1,2020,66
2020-01-02 16:30:00,119263494.4,16,30,3,1,2,1,2020,67
2020-01-02 16:45:00,118885614.1,16,45,3,1,2,1,2020,68
2020-01-02 17:00:00,127937653.9,17,0,3,1,2,1,2020,69
2020-01-02 17:15:00,117132298.5,17,15,3,1,2,1,2020,70
2020-01-02 17:30:00,153732202.2,17,30,3,1,2,1,2020,71
2020-01-02 17:45:00,147810869.6,17,45,3,1,2,1,2020,72
2020-01-02 18:00:00,124215353.2,18,0,3,1,2,1,2020,73
2020-01-02 18:15:00,131641328.0,18,15,3,1,2,1,2020,74
2020-01-02 18:30:00,123544850.3,18,30,3,1,2,1,2020,75
2020-01-02 18:45:00,129549456.0,18,45,3,1,2,1,2020,76
2020-01-02 19:00:00,128516154.8,19,0,3,1,2,1,2020,77
2020-01-02 19:15:00,133990746.0,19,15,3,1,2,1,2020,78
2020-01-02 19:30:00,118386232.3,19,30,3,1,2,1,2020,79
2020-01-02 19:45:00,118498127.9,19,45,3,1,2,1,2020,80
2020-01-02 20:00:00,115531166.8,20,0,3,1,2,1,2020,81
2020-01-02 20:15:00,122909321.3,20,15,3,1,2,1,2020,82
2020-01-02 20:30:00,123305453.1,20,30,3,1,2,1,2020,83
2020-01-02 20:45:00,137049627.2,20,45,3,1,2,1,2020,84
2020-01-02 21:00:00,112838719.8,21,0,3,1,2,1,2020,85
2020-01-02 21:15:00,130320505.1,21,15,3,1,2,1,2020,86
2020-01-02 21:30:00,118086980.0,21,30,3,1,2,1,2020,87
2020-01-02 21:45:00,138173508.4,21,45,3,1,2,1,2020,88
2020-01-02 22:00:00,122843267.5,22,0,3,1,2,1,2020,89
2020-01-02 22:15:00,117835931.5,22,15,3,1,2,1,2020,90
2020-01-02 22:30:00,125202819.0,22,30,3,1,2,1,2020,91
2020-01-02 22:45:00,111028743.7,22,45,3,1,2,1,2020,92
2020-01-02 23:00:00,121816306.8,23,0,3,1,2,1,2020,93
2020-01-02 23:15:00,128050560.0,23,15,3,1,2,1,2020,94
2020-01-02 23:30:00,113604826.9,23,30,3,1,2,1,2020,95
2020-01-02 23:45:00,99585109.5,23,45,3,1,2,1,2020,96
2020-01-03 00:00:00,111726250.6,0,0,4,1,3,1,2020,1
2020-01-03 00:15:00,104667410.2,0,15,4,1,3,1,2020,2
2020-01-03 00:30:00,103417065.8,0,30,4,1,3,1,2020,3
2020-01-03 00:45:00,103527744.2,0,45,4,1,3,1,2020,4
2020-01-03 01:00:00,84193361.4,1,0,4,1,3,1,2020,5
2020-01-03 01:15:00,88529848.7,1,15,4,1,3,1,2020,6
2020-01-03 01:30:00,79732089.6,1,30,4,1,3,1,2020,7
2020-01-03 01:45:00,69548114.5,1,45,4,1,3,1,2020,8
2020-01-03 02:00:00,76383840.7,2,0,4,1,3,1,2020,9
2020-01-03 02:15:00,79008037.1,2,15,4,1,3,1,2020,10
2020-01-03 02:30:00,76899943.2,2,30,4,1,3,1,2020,11
2020-01-03 02:45:00,61603033.9,2,45,4,1,3,1,2020,12
2020-01-03 03:00:00,55253645.5,3,0,4,1,3,1,2020,13
2020-01-03 03:15:00,61461451.9,3,15,4,1,3,1,2020,14
2020-01-03 03:30:00,81229814.8,3,30,4,1,3,1,2020,15
2020-01-03 03:45:00,77216420.3,3,45,4,1,3,1,2020,16
2020-01-03 04:00:00,71538705.9,4,0,4,1,3,1,2020,17
2020-01-03 04:15:00,81936201.4,4,15,4,1,3,1,2020,18
2020-01-03 04:30:00,79203906.8,4,30,4,1,3,1,2020,19
2020-01-03 04:45:00,78531944.3,4,45,4,1,3,1,2020,20
2020-01-03 05:00:00,88160504.0,5,0,4,1,3,1,2020,21
2020-01-03 05:15:00,84958925.4,5,15,4,1,3,1,2020,22
2020-01-03 05:30:00,87233970.8,5,30,4,1,3,1,2020,23
2020-01-03 05:45:00,98222169.5,5,45,4,1,3,1,2020,24
2020-01-03 06:00:00,95604336.2,6,0,4,1,3,1,2020,25
2020-01-03 06:15:00,99284601.8,6,15,4,1,3,1,2020,26
2020-01-03 06:30:00,107093195.7,6,30,4,1,3,1,2020,27
2020-01-03 06:45:00,93279847.0,6,45,4,1,3,1,2020,28
2020-01-03 07:00:00,138320859.2,7,0,4,1,3,1,2020,29
2020-01-03 07:15:00,108173209.6,7,15,4,1,3,1,2020,30
2020-01-03 07:30:00,99007107.6,7,30,4,1,3,1,2020,31
2020-01-03 07:45:00,112270614.4,7,45,4,1,3,1,2020,32
2020-01-03 08:00:00,100137947.6,8,0,4,1,3,1,2020,33
2020-01-03 08:15:00,105384133.8,8,15,4,1,3,1,2020,34
2020-01-03 08:30:00,98719620.0,8,30,4,1,3,1,2020,35
2020-01-03 08:45:00,116651570.0,8,45,4,1,3,1,2020,36
2020-01-03 09:00:00,104446800.1,9,0,4,1,3,1,2020,37
2020-01-03 09:15:00,101649457.3,9,15,4,1,3,1,2020,38
2020-01-03 09:30:00,99569884.4,9,30,4,1,3,1,2020,39
2020-01-03 09:45:00,104279842.2,9,45,4,1,3,1,2020,40
2020-01-03 10:00:00,122899558.7,10,0,4,1,3,1,2020,41
2020-01-03 10:15:00,124441351.5,10,15,4,1,3,1,2020,42
2020-01-03 10:30:00,102445860.4,10,30,4,1,3,1,2020,43
2020-01-03 10:45:00,108874804.4,10,45,4,1,3,1,2020,44
2020-01-03 11:00:00,118115038.6,11,0,4,1,3,1,2020,45
2020-01-03 11:15:00,112486518.4,11,15,4,1,3,1,2020,46
2020-01-03 11:30:00,110439262.1,11,30,4,1,3,1,2020,47
2020-01-03 11:45:00,90937399.8,11,45,4,1,3,1,2020,48
2020-01-03 12:00:00,117306454.7,12,0,4,1,3,1,2020,49
2020-01-03 12:15:00,91704881.3,12,15,4,1,3,1,2020,50
2020-01-03 12:30:00,129335213.4,12,30,4,1,3,1,2020,51
2020-01-03 12:45:00,109734678.5,12,45,4,1,3,1,2020,52
2020-01-03 13:00:00,148469304.7,13,0,4,1,3,1,2020,53
2020-01-03 13:15:00,104354491.9,13,15,4,1,3,1,2020,54
2020-01-03 13:30:00,97550474.3,13,30,4,1,3,1,2020,55
2020-01-03 13:45:00,95777092.2,13,45,4,1,3,1,2020,56
2020-01-03 14:00:00,99384376.0,14,0,4,1,3,1,2020,57
2020-01-03 14:15:00,98380878.8,14,15,4,1,3,1,2020,58
2020-01-03 14:30:00,107653893.7,14,30,4,1,3,1,2020,59
2020-01-03 14:45:00,129818259.9,14,45,4,1,3,1,2020,60
2020-01-03 15:00:00,122390697.9,15,0,4,1,3,1,2020,61
2020-01-03 15:15:00,155507515.9,15,15,4,1,3,1,2020,62
2020-01-03 15:30:00,140197618.2,15,30,4,1,3,1,2020,63
2020-01-03 15:45:00,129600716.1,15,45,4,1,3,1,2020,64
2020-01-03 16:00:00,139681887.0,16,0,4,1,3,1,2020,65
2020-01-03 16:15:00,134113803.0,16,15,4,1,3,1,2020,66
2020-01-03 16:30:00,114295188.7,16,30,4,1,3,1,2020,67
2020-01-03 16:45:00,121642420.6,16,45,4,1,3,1,2020,68
2020-01-03 17:00:00,145425302.2,17,0,4,1,3,1,2020,69
2020-01-03 17:15:00,136962501.7,17,15,4,1,3,1,2020,70
2020-01-03 17:30:00,157456138.4,17,30,4,1,3,1,2020,71
2020-01-03 17:45:00,152174778.0,17,45,4,1,3,1,2020,72
2020-01-03 18:00:00,141452948.3,18,0,4,1,3,1,2020,73
2020-01-03 18:15:00,127099072.2,18,15,4,1,3,1,2020,74
2020-01-03 18:30:00,126469551.7,18,30,4,1,3,1,2020,75
2020-01-03 18:45:00,125570034.1,18,45,4,1,3,1,2020,76
2020-01-03 19:00:00,133868576.9,19,0,4,1,3,1,2020,77
2020-01-03 19:15:00,139219925.0,19,15,4,1,3,1,2020,78
2020-01-03 19:30:00,113820829.5,19,30,4,1,3,1,2020,79
2020-01-03 19:45:00,141662362.3,19,45,4,1,3,1,2020,80
2020-01-03 20:00:00,122391961.5,20,0,4,1,3,1,2020,81
2020-01-03 20:15:00,124237672.8,20,15,4,1,3,1,2020,82
2020-01-03 20:30:00,131325153.4,20,30,4,1,3,1,2020,83
2020-01-03 20:45:00,132893069.7,20,45,4,1,3,1,2020,84
2020-01-03 21:00:00,128254649.3,21,0,4,1,3,1,2020,85
2020-01-03 21:15:00,118097476.9,21,15,4,1,3,1,2020,86
2020-01-03 21:30:00,123545626.6,21,30,4,1,3,1,2020,87
2020-01-03 21:45:00,129870435.5,21,45,4,1,3,1,2020,88
2020-01-03 22:00:00,124250629.2,22,0,4,1,3,1,2020,89
2020-01-03 22:15:00,127340916.9,22,15,4,1,3,1,2020,90
2020-01-03 22:30:00,126919501.1,22,30,4,1,3,1,2020,91
2020-01-03 22:45:00,121079949.9,22,45,4,1,3,1,2020,92
2020-01-03 23:00:00,125103078.6,23,0,4,1,3,1,2020,93
2020-01-03 23:15:00,124212703.0,23,15,4,1,3,1,2020,94
2020-01-03 23:30:00,123157528.3,23,30,4,1,3,1,2020,95
2020-01-03 23:45:00,109340181.5,23,45,4,1,3,1,2020,96
2020-01-04 00:00:00,120053402.5,0,0,5,1,4,1,2020,1
2020-01-04 00:15:00,119291543.4,0,15,5,1,4,1,2020,2
2020-01-04 00:30:00,115706364.1,0,30,5,1,4,1,2020,3
2020-01-04 00:45:00,93395206.3,0,45,5,1,4,1,2020,4
2020-01-04 01:00:00,93724584.7,1,0,5,1,4,1,2020,5
2020-01-04 01:15:00,84779788.5,1,15,5,1,4,1,2020,6
2020-01-04 01:30:00,71783754.8,1,30,5,1,4,1,2020,7
2020-01-04 01:45:00,71936427.0,1,45,5,1,4,1,2020,8
2020-01-04 02:00:00,67514793.9,2,0,5,1,4,1,2020,9
2020-01-04 02:15:00,78459624.4,2,15,5,1,4,1,2020,10
2020-01-04 02:30:00,64278226.6,2,30,5,1,4,1,2020,11
2020-01-04 02:45:00,71692525.0,2,45,5,1,4,1,2020,12
2020-01-04 03:00:00,71122045.1,3,0,5,1,4,1,2020,13
2020-01-04 03:15:00,79345792.5,3,15,5,1,4,1,2020,14
2020-01-04 03:30:00,96310523.2,3,30,5,1,4,1,2020,15
2020-01-04 03:45:00,78088835.6,3,45,5,1,4,1,2020,16
2020-01-04 04:00:00,68963866.6,4,0,5,1,4,1,2020,17
2020-01-04 04:15:00,84074543.4,4,15,5,1,4,1,2020,18
2020-01-04 04:30:00,78776765.6,4,30,5,1,4,1,2020,19
2020-01-04 04:45:00,87152370.5,4,45,5,1,4,1,2020,20
2020-01-04 05:00:00,89726880.4,5,0,5,1,4,1,2020,21
2020-01-04 05:15:00,105131370.2,5,15,5,1,4,1,2020,22
2020-01-04 05:30:00,94379658.3,5,30,5,1,4,1,2020,23
2020-01-04 05:45:00,102917840.6,5,45,5,1,4,1,2020,24
2020-01-04 06:00:00,111165469.1,6,0,5,1,4,1,2020,25
2020-01-04 06:15:00,147615435.5,6,15,5,1,4,1,2020,26
2020-01-04 06:30:00,111958103.0,6,30,5,1,4,1,2020,27
2020-01-04 06:45:00,92706585.1,6,45,5,1,4,1,2020,28
2020-01-04 07:00:00,157358500.7,7,0,5,1,4,1,2020,29
2020-01-04 07:15:00,126214395.6,7,15,5,1,4,1,2020,30
2020-01-04 07:30:00,106585846.3,7,30,5,1,4,1,2020,31
2020-01-04 07:45:00,109357953.2,7,45,5,1,4,1,2020,32
2020-01-04 08:00:00,117957884.0,8,0,5,1,4,1,2020,33
2020-01-04 08:15:00,107006570.0,8,15,5,1,4,1,2020,34
2020-01-04 08:30:00,113644573.2,8,30,5,1,4,1,2020,35
2020-01-04 08:45:00,110835966.7,8,45,5,1,4,1,2020,36
2020-01-04 09:00:00,110217261.7,9,0,5,1,4,1,2020,37
2020-01-04 09:15:00,106586898.6,9,15,5,1,4,1,2020,38
2020-01-04 09:30:00,107950736.9,9,30,5,1,4,1,2020,39
2020-01-04 09:45:00,110321300.2,9,45,5,1,4,1,2020,40
2020-01-04 10:00:00,129432575.5,10,0,5,1,4,1,2020,41
2020-01-04 10:15:00,133194744.3,10,15,5,1,4,1,2020,42
2020-01-04 10:30:00,113942195.9,10,30,5,1,4,1,2020,43
2020-01-04 10:45:00,107831025.7,10,45,5,1,4,1,2020,44
2020-01-04 11:00:00,118256778.8,11,0,5,1,4,1,2020,45
2020-01-04 11:15:00,101337261.2,11,15,5,1,4,1,2020,46
2020-01-04 11:30:00,130650430.4,11,30,5,1,4,1,2020,47
2020-01-04 11:45:00,86163686.0,11,45,5,1,4,1,2020,48
2020-01-04 12:00:00,110877330.3,12,0,5,1,4,1,2020,49
2020-01-04 12:15:00,114281240.7,12,15,5,1,4,1,2020,50
2020-01-04 12:30:00,133126922.8,12,30,5,1,4,1,2020,51
2020-01-04 12:45:00,130184786.1,12,45,5,1,4,1,2020,52
2020-01-04 13:00:00,139262854.8,13,0,5,1,4,1,2020,53
2020-01-04 13:15:00,121275081.5,13,15,5,1,4,1,2020,54
2020-01-04 13:30:00,106681847.8,13,30,5,1,4,1,2020,55
2020-01-04 13:45:00,102061440.4,13,45,5,1,4,1,2020,56
2020-01-04 14:00:00,109405803.8,14,0,5,1,4,1,2020,57
2020-01-04 14:15:00,112679434.2,14,15,5,1,4,1,2020,58
2020-01-04 14:30:00,118459371.1,14,30,5,1,4,1,2020,59
2020-01-04 14:45:00,138302711.9,14,45,5,1,4,1,2020,60
2020-01-04 15:00:00,122927140.1,15,0,5,1,4,1,2020,61
2020-01-04 15:15:00,183416109.0,15,15,5,1,4,1,2020,62
2020-01-04 15:30:00,151329854.1,15,30,5,1,4,1,2020,63
2020-01-04 15:45:00,165547874.9,15,45,5,1,4,1,2020,64
2020-01-04 16:00:00,159458187.7,16,0,5,1,4,1,2020,65
2020-01-04 16:15:00,138737238.1,16,15,5,1,4,1,2020,66
2020-01-04 16:30:00,135295400.7,16,30,5,1,4,1,2020,67
2020-01-04 16:45:00,144109484.8,16,45,5,1,4,1,2020,68
2020-01-04 17:00:00,148892895.5,17,0,5,1,4,1,2020,69
2020-01-04 17:15:00,145377602.0,17,15,5,1,4,1,2020,70
2020-01-04 17:30:00,158286845.4,17,30,5,1,4,1,2020,71
2020-01-04 17:45:00,162134516.5,17,45,5,1,4,1,2020,72
2020-01-04 18:00:00,137339909.4,18,0,5,1,4,1,2020,73
2020-01-04 18:15:00,142071278.8,18,15,5,1,4,1,2020,74
2020-01-04 18:30:00,156105883.8,18,30,5,1,4,1,2020,75
2020-01-04 18:45:00,125435323.9,18,45,5,1,4,1,2020,76
2020-01-04 19:00:00,137015507.0,19,0,5,1,4,1,2020,77
2020-01-04 19:15:00,143142091.9,19,15,5,1,4,1,2020,78
2020-01-04 19:30:00,123421167.7,19,30,5,1,4,1,2020,79
2020-01-04 19:45:00,138020649.8,19,45,5,1,4,1,2020,80
2020-01-04 20:00:00,135976001.7,20,0,5,1,4,1,2020,81
2020-01-04 20:15:00,127311612.9,20,15,5,1,4,1,2020,82
2020-01-04 20:30:00,136425828.0,20,30,5,1,4,1,2020,83
2020-01-04 20:45:00,140308090.9,20,45,5,1,4,1,2020,84
2020-01-04 21:00:00,136027944.9,21,0,5,1,4,1,2020,85
2020-01-04 21:15:00,124453348.9,21,15,5,1,4,1,2020,86
2020-01-04 21:30:00,136801189.6,21,30,5,1,4,1,2020,87
2020-01-04 21:45:00,137288390.9,21,45,5,1,4,1,2020,88
2020-01-04 22:00:00,138544760.6,22,0,5,1,4,1,2020,89
2020-01-04 22:15:00,137395575.9,22,15,5,1,4,1,2020,90
2020-01-04 22:30:00,132443148.7,22,30,5,1,4,1,2020,91
2020-01-04 22:45:00,135443763.1,22,45,5,1,4,1,2020,92
2020-01-04 23:00:00,135284578.4,23,0,5,1,4,1,2020,93
2020-01-04 23:15:00,137427519.2,23,15,5,1,4,1,2020,94
2020-01-04 23:30:00,134592252.0,23,30,5,1,4,1,2020,95
2020-01-04 23:45:00,122182011.2,23,45,5,1,4,1,2020,96
2020-01-05 00:00:00,105475078.5,0,0,6,1,5,1,2020,1
